city,month,day,temp,max_temp,min_temp,precp
新北市,2019-01,01,16.4,17.4,15.9,1.3
新北市,2019-01,02,17.2,18.6,16.0,3.0
新北市,2019-01,03,18.5,19.8,17.1,7.5
新北市,2019-01,04,21.4,27.7,18.8,0.0
新北市,2019-01,05,19.8,22.5,18.6,3.0
新北市,2019-01,06,17.9,19.3,16.1,5.5
新北市,2019-01,07,20.5,23.1,18.0,0.0
新北市,2019-01,08,19.9,21.9,18.3,T
新北市,2019-01,09,19.1,21.5,17.1,0.0
新北市,2019-01,10,21.9,27.6,18.6,0.0
新北市,2019-01,11,21.5,26.3,19.7,0.0
新北市,2019-01,12,19.5,21.2,18.3,0.0
新北市,2019-01,13,18.7,19.8,18.1,0.0
新北市,2019-01,14,19.9,22.9,17.7,0.1
新北市,2019-01,15,20.4,23.4,18.3,0.2
新北市,2019-01,16,16.6,18.3,15.5,12.5
新北市,2019-01,17,15.6,16.4,14.7,7.0
新北市,2019-01,18,18.1,21.5,14.8,0.0
新北市,2019-01,19,17.9,22.8,13.2,0.0
新北市,2019-01,20,18.0,22.6,15.1,1.7
新北市,2019-01,21,15.1,16.2,14.0,5.5
新北市,2019-01,22,13.7,15.3,12.6,1.5
新北市,2019-01,23,15.8,18.1,12.6,0.0
新北市,2019-01,24,17.5,20.5,15.9,0.0
新北市,2019-01,25,17.8,23.4,13.0,0.0
新北市,2019-01,26,15.2,17.6,14.0,0.0
新北市,2019-01,27,15.3,17.4,14.0,0.0
新北市,2019-01,28,17.1,23.7,10.6,0.0
新北市,2019-01,29,19.7,23.2,16.5,0.0
新北市,2019-01,30,19.5,25.4,14.7,0.0
新北市,2019-01,31,19.2,27.6,14.8,0.0
臺北市,2019-01,01,16.2,17.4,15.7,2.0
臺北市,2019-01,02,17.0,18.2,15.7,5.7
臺北市,2019-01,03,18.4,20.0,17.1,6.4
臺北市,2019-01,04,22.0,28.6,19.2,0.0
臺北市,2019-01,05,19.9,22.4,18.8,3.5
臺北市,2019-01,06,18.0,19.3,16.7,4.5
臺北市,2019-01,07,20.6,24.0,17.7,0.0
臺北市,2019-01,08,20.0,21.4,18.1,T
臺北市,2019-01,09,18.7,20.6,16.8,0.0
臺北市,2019-01,10,22.7,28.3,20.5,0.0
臺北市,2019-01,11,22.1,27.1,20.4,0.0
臺北市,2019-01,12,19.6,21.2,18.1,0.0
臺北市,2019-01,13,18.6,20.4,17.9,0.0
臺北市,2019-01,14,19.7,22.5,17.4,0.0
臺北市,2019-01,15,21.0,23.1,18.2,0.0
臺北市,2019-01,16,16.6,18.2,15.5,14.0
